Registro ANS,Razão Social,Nome Fantasia,CNPJ,registro_ans,cnpj,razao_social,nome_fantasia,ativa,email,site,representante_nome,representante_cargo,autorizacao_funcionamento_em,concessao_registro_definitivo_em,registrada_em,classificacao_sigla,classificacao_nome,segmentacao_sigla,segmentacao_nome,endereco_logradouro,endereco_numero,endereco_complemento,endereco_bairro,endereco_cep,endereco_municipio_codigo,endereco_municipio_nome,endereco_uf_sigla,endereco_valido,telefone_ddd,telefone_numero,fax_ddd,fax_numero,_links,erro
314668,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,17.505.793/0001-01,314668,17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,True,abertta.ans@arcelormittal.com.br,www.aberttasaude.com.br,WERNER DUARTE DALLA,Diretor Presidente,2012-10-19,2006-11-03,1998-12-28,AUTOG,Autogestão,AUTSM,Autogestão sem Mantenedor,AV. BERNARDO MONTEIRO,831,"Subsolo, 2º andar e 3º andar",SANTA EFIGÊNIA,30150281,310620,Belo Horizonte,MG,False,31,32484300,31,32484377,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/314668'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
419621,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,,17.687.511/0001-26,419621,17687511000126,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,,True,contato@abplus.com.br,www.abplus.com.br ,ROBERTO CARLOS MACHADO RODRIGUES,ADMINISTRADOR,2014-11-28,2014-11-13,2014-11-13,ADMBN,Administradora de Benefícios,,,AVENIDA JOSÉ DA SILVA NETO,200,"BLOCO 4, SALA 403",BARRA DA TIJUCA,22775056,330455,Rio de Janeiro,RJ,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/419621'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
424242,ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.,ABRANGE SAÚDE,56.298.884/0001-67,424242,56298884000167,ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.,ABRANGE SAÚDE,True,dayanasantos@abrangesaude.com.br,,DAYANA DOS SANTOSDE BRITO FLORÊNCIO,ADMINISTRADORA,2025-02-03,2025-01-06,2025-01-06,ADMBN,Administradora de Benefícios,,,RUA CEL. JOSÉ EUSEBIO,95.0,SALA 13,HIGIENOPOLIS,01239030,355030,São Paulo,SP,False,11,920554400,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/424242'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
418901,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,AD SALUTE,10.458.298/0001-31,418901,10458298000131,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,AD SALUTE,True,LEONARDO@UNIMEDICASAUDE.COM,,JOÃO CARMO DA SILVEIRA,ADMINISTRADOR,2013-06-18,2013-06-13,2013-06-13,ADMBN,Administradora de Benefícios,,,RUA BUENOS AIRES,68,SALA 2901,CENTRO,20070020,330455,Rio de Janeiro,RJ,False,21,35531692,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/418901'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
424293,ADC ADMINISTRADORA DE BENEFICIOS LTDA,,58.280.182/0001-81,424293,58280182000181,ADC ADMINISTRADORA DE BENEFICIOS LTDA,,True,wesley@adcplasp.com.br,www.adcbeneficios.com.br,WESLEY LEME DE OLIVEIRA,ADMINISTRADOR,2025-02-03,2025-01-27,2025-01-27,ADMBN,Administradora de Benefícios,,,RUA VOLUNTÁRIOS DA PÁTRIA,1284,SALA 314,SANTANA,02010200,355030,São Paulo,SP,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/424293'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
421553,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ADM LIFE,28.315.826/0001-69,421553,28315826000169,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ADM LIFE,True,cristiane@admlife.com.br,,NELITO JÚNIOR DE ALMEIDA SILVA,Sócio Administrador,2019-01-18,2019-01-09,2019-01-09,ADMBN,Administradora de Benefícios,,,AVENIDA PEDROSO DE MORAIS,272,CJ 96,PINHEIROS,05420000,355030,São Paulo,SP,False,11,99475503,11,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/421553'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
416932,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,GÉIA ADMINISTRADORA DE BENEFICIOS,07.867.825/0001-57,416932,07867825000157,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,GÉIA ADMINISTRADORA DE BENEFICIOS,True,sandra@geia.com.br,www.geia.com.br,PEDRO OLIVEIRA OBLIZINER,SÓCIO ADMINISTRADOR,2009-05-28,2009-03-30,2009-03-30,ADMBN,Administradora de Benefícios,,,Avenida Valdemar Ferreira,463,,Butantã,05501000,355030,São Paulo,SP,False,11,36602000,11,36602000,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/416932'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
422347,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ADRESS,37.201.454/0001-30,422347,37201454000130,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ADRESS,True,contato@adress.com.br,https://adress.com.br/,LAIR ISABEL BOHRER DIEDAM,SÓCIA ADMINISTRADORA,2020-09-11,2020-09-03,2020-09-03,ADMBN,Administradora de Benefícios,,,AVENIDA RIO BRANCO,125,15º ANDAR  SALA 1501,CENTRO,20040006,330455,Rio de Janeiro,RJ,False,21,22524066,21,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/422347'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
335657,ADVANCE PLANOS DE SAÚDE LTDA,,02.041.808/0001-42,335657,02041808000142,ADVANCE PLANOS DE SAÚDE LTDA,,True,planosdesaude@advanceplanos.com.br,www.advanceplano.com.br,JOSÉ JAIR JAMES DE ARRUDA PINTO,ADMINISTRADOR,2008-02-19,2008-01-17,1998-12-28,MEGRP,Medicina de Grupo,ST   ,Segmento terciario - ST,RUA DOS BURITIS,128,SALA 202 - CENTRO EMPRESARIAL ZONA SUL,JABAQUARA,04321000,355030,São Paulo,SP,False,,,,,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/335657'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
413283,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,,03.694.367/0001-40,413283,03694367000140,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,,True,aespodonto@aespodonto.com.br,www.aespodonto.com.br,CARLOS EUGENIO PORTO BRAGA,ADMINISTRADOR,2007-09-19,2007-09-18,2001-03-07,ODGRP,Odontologia de Grupo,SOP  ,Segmento proprio - SP,ALAMEDA GRAJAÚ,60,SALA 2814,ALPHAVILLE INDUSTRIAL,06454050,350570,Barueri,SP,False,01,168135656,01,168135656,"{'self': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras/413283'}, 'operadoras': {'href': 'https://www.ans.gov.br/operadoras-entity/v1/operadoras{?razao_social,nome_fantasia,cnpj,ativa,page,size,sort}', 'templated': True}}",
