Registro ANS,Razão Social,Nome Fantasia,CNPJ,Logradouro,Complemento,Bairro,CEP,Município,Estado,Telefone 1
314668,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,17.505.793/0001-01,"Avenida Bernardo Monteiro, 831",Subsl Andar 2 Andar 3,Santa Efigenia,30150-283,Belo Horizonte,Minas Gerais,(31) 3308-4300
419621,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,,17.687.511/0001-26,"Avenida Jose Silva de Azevedo Neto, 00200",Bl 004 Sala 0403,Barra da Tijuca,22775-056,Rio de Janeiro,Rio de Janeiro,(21) 3553-1692
424242,ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.,ABRANGE SAÚDE,56.298.884/0001-67,"Rua Cel Jose Eusebio, 95",Casa 13,Higienopolis,01239-030,São Paulo,São Paulo,(92) 98259-0027
418901,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,AD SALUTE,10.458.298/0001-31,"Rua Bueno Aires, 68",Sala 2901,Centro,20070-022,Rio de Janeiro,Rio de Janeiro,(21) 3515-0997
424293,ADC ADMINISTRADORA DE BENEFICIOS LTDA,,58.280.182/0001-81,"Rua Voluntarios da Patria, 1284",Sala 314,Santana,02010-200,São Paulo,São Paulo,(11) 3336-6750
421553,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ADM LIFE,28.315.826/0001-69,"Avenida Pedroso de Morais, 272",Conj 96,Pinheiros,05420-000,São Paulo,São Paulo,(11) 3476-9350
416932,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,GÉIA ADMINISTRADORA DE BENEFICIOS,07.867.825/0001-57,"Avenida Valdemar Ferreira, 463",,Butanta,05501-000,São Paulo,São Paulo,(11) 3660-2000
422347,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ADRESS,37.201.454/0001-30,"Avenida Rio Branco, 00125",Sal 1501,Centro,20040-006,Rio de Janeiro,Rio de Janeiro,(21) 2221-1133
335657,ADVANCE PLANOS DE SAÚDE LTDA,,02.041.808/0001-42,"Rua Dos Buritis, 128",Sala 202,Vila Parque Jabaquara,04321-902,São Paulo,São Paulo,(11) 3169-7000
413283,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,,03.694.367/0001-40,"Alameda Grajau, 60",Sala 2814,Alphaville Centro Industrial e Empresarial/Alphavi,06454-050,Barueri,São Paulo,(11) 2813-5656
419907,AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA,AFFIANCE LIFE BENEFÍCIOS,22.891.640/0001-71,"Avenida Raja Gabaglia, 1617",Andar 5 Sala 501,Luxemburgo,30380-435,Belo Horizonte,Minas Gerais,(31) 2551-3300
417424,AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA,AFFIX BENEFÍCIOS,11.158.465/0001-91,"Alameda Santos, 2441",Conj 41 e 42 Andar 4,Cerqueira Cesar,01419-101,São Paulo,São Paulo,(85) 98736-2888
368920,AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,,20.320.487/0001-05,"Avenida Purdue, S/N",,Campus Ufv,36570-900,Viçosa,Minas Gerais,(31) 3899-3500
424285,AIRES OPERADORA DE SAUDE LTDA,AIRES OPERADORA DE SAUDE,57.522.360/0001-70,"Avenida Pres Kennedy, 1001",Bl. D,Peixinhos,53260-640,Olinda,Pernambuco,(82) 3021-4141
417742,ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS,,10.387.254/0001-68,"Avenida Rio Branco, 00131",Sal 1202,Centro,20040-006,Rio de Janeiro,Rio de Janeiro,(21) 2505-4500
416975,ALCANCE SAÚDE LTDA,ALCANCE SAÚDE,06.258.813/0001-62,,,,,Araçatuba,São Paulo,(18) 3305-8710
421928,ALICE OPERADORA LTDA.,ALICE,34.266.553/0001-02,"Avenida Reboucas, 3535",,Pinheiros,05401-400,São Paulo,São Paulo,(11) 3897-9090
417289,ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA,,07.674.593/0001-10,"Alameda Santos 1357, 1357",Andar 2 Andar 7,Cerqueira Cesar,01419-908,São Paulo,São Paulo,(11) 3121-7788
417459,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.,ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE,11.165.556/0001-54,"Setor Scs Quadra 3 Bloco A Lote 107/111, S/N",,Asa Sul,70303-907,Brasília,Distrito Federal,(21) 2203-8669
515,ALLIANZ SAÚDE S/A,,,,,,,,,
423262,ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA,ALMA ODONTO,45.568.546/0001-81,"Rua Regente Feijo, 712",Sala 93 Edif Joao Pupo,Centro,13013-050,Campinas,São Paulo,(19) 3199-4536
419982,ALPHA DENTAL PLANO DE SAUDE LTDA ME,DENTALMED,20.459.346/0001-60,"Rua Das Graviolas, 383",Sala 02,Setor Comercial,78550-136,Sinop,Mato Grosso,(66) 99675-4258
420255,ALTER ADMINISTRADORA DE BENEFICIOS S.A.,,22.103.116/0001-99,"Alameda Santos, 2441",Andar 4 Conj 41 e 42 Sala 01,Cerqueira Cesar,01419-101,São Paulo,São Paulo,(16) 3607-6000
344800,ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,ALVORECER,62.511.019/0001-50,"Alameda Santos, 1827",Andar 11 Conj 111,Cerqueira Cesar,01419-909,São Paulo,São Paulo,(11) 3016-9402
424234,AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA,AMAZIL,56.307.500/0001-25,"Estrada Do Tindiba, 01630",,Taquara,22740-362,Rio de Janeiro,Rio de Janeiro,(92) 98467-8778
419052,AMAZÔNIA PLANOS DE SAÚDE LTDA,PLANO AMAZÔNIA SAÚDE,16.926.969/0001-28,"Travessa Nove de Janeiro, 1295",,Sao Bras,66060-575,Belém,Pará,(91) 99373-7833
423351,AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.,VIVA VIDA,46.614.535/0001-53,"Avenida Calama, 2715",Sala 2715 C,Liberdade,76803-883,Porto Velho,Rondônia,(69) 99332-4444
304531,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,AME-SISTEMA DE SAÚDE 24 HORAS,17.143.876/0001-90,"Rua Sampaio, 376",,Centro,36013-240,Juiz de Fora,Minas Gerais,
413330,AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA,04.257.073/0001-14,"Rua Araguaia, 13",,Jacarepagua,22745-270,Rio de Janeiro,Rio de Janeiro,(21) 2221-6390
394734,AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.,67.839.969/0001-21,"Rua Ubatu Mirim, 45",Andar 3,Vila Gea,04692-010,São Paulo,São Paulo,(11) 3321-9700
